timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1782978948721,2026-07-02 09:55:48.721,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978948788,2026-07-02 09:55:48.788,C3:00:00:63:4C:D2,-78,127,1.0,1.0,1.5
1782978948797,2026-07-02 09:55:48.797,C3:00:00:63:4C:D2,-67,127,1.0,1.0,1.5
1782978948804,2026-07-02 09:55:48.804,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978948808,2026-07-02 09:55:48.808,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978949094,2026-07-02 09:55:49.094,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978949125,2026-07-02 09:55:49.125,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978949226,2026-07-02 09:55:49.226,C3:00:00:63:4C:D2,-61,127,1.0,1.0,1.5
1782978949345,2026-07-02 09:55:49.345,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978949469,2026-07-02 09:55:49.469,C3:00:00:63:4C:D2,-64,127,1.0,1.0,1.5
1782978949687,2026-07-02 09:55:49.687,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978949804,2026-07-02 09:55:49.804,C3:00:00:63:4C:D2,-68,127,1.0,1.0,1.5
1782978950267,2026-07-02 09:55:50.267,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978950432,2026-07-02 09:55:50.432,C3:00:00:63:4C:D2,-64,127,1.0,1.0,1.5
1782978950606,2026-07-02 09:55:50.606,C3:00:00:63:4C:D2,-68,127,1.0,1.0,1.5
1782978950846,2026-07-02 09:55:50.846,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978950952,2026-07-02 09:55:50.952,C3:00:00:63:4C:D2,-68,127,1.0,1.0,1.5
1782978951064,2026-07-02 09:55:51.064,C3:00:00:63:4C:D2,-61,127,1.0,1.0,1.5
1782978951294,2026-07-02 09:55:51.294,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978951531,2026-07-02 09:55:51.531,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978951640,2026-07-02 09:55:51.640,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978951875,2026-07-02 09:55:51.875,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978952015,2026-07-02 09:55:52.015,C3:00:00:63:4C:D2,-64,127,1.0,1.0,1.5
1782978952098,2026-07-02 09:55:52.098,C3:00:00:63:4C:D2,-58,127,1.0,1.0,1.5
1782978952216,2026-07-02 09:55:52.216,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978952448,2026-07-02 09:55:52.448,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978952559,2026-07-02 09:55:52.559,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978952679,2026-07-02 09:55:52.679,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978952736,2026-07-02 09:55:52.736,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978952907,2026-07-02 09:55:52.907,C3:00:00:63:4C:D2,-61,127,1.0,1.0,1.5
1782978953025,2026-07-02 09:55:53.025,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978953106,2026-07-02 09:55:53.106,C3:00:00:63:4C:D2,-66,127,1.0,1.0,1.5
1782978953142,2026-07-02 09:55:53.142,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978953252,2026-07-02 09:55:53.252,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978953372,2026-07-02 09:55:53.372,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978953595,2026-07-02 09:55:53.595,C3:00:00:63:4C:D2,-59,127,1.0,1.0,1.5
1782978953938,2026-07-02 09:55:53.938,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978954176,2026-07-02 09:55:54.176,C3:00:00:63:4C:D2,-61,127,1.0,1.0,1.5
1782978954289,2026-07-02 09:55:54.289,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978954412,2026-07-02 09:55:54.412,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978954446,2026-07-02 09:55:54.446,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978954519,2026-07-02 09:55:54.519,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978954746,2026-07-02 09:55:54.746,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978954859,2026-07-02 09:55:54.859,C3:00:00:63:4C:D2,-67,127,1.0,1.0,1.5
1782978954980,2026-07-02 09:55:54.980,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978955092,2026-07-02 09:55:55.092,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978955118,2026-07-02 09:55:55.118,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978955211,2026-07-02 09:55:55.211,C3:00:00:63:4C:D2,-67,127,1.0,1.0,1.5
1782978955327,2026-07-02 09:55:55.327,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978955440,2026-07-02 09:55:55.440,C3:00:00:63:4C:D2,-68,127,1.0,1.0,1.5
1782978955554,2026-07-02 09:55:55.554,C3:00:00:63:4C:D2,-66,127,1.0,1.0,1.5
1782978955666,2026-07-02 09:55:55.666,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978955793,2026-07-02 09:55:55.793,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978955998,2026-07-02 09:55:55.998,C3:00:00:63:4C:D2,-71,127,1.0,1.0,1.5
1782978956020,2026-07-02 09:55:56.020,C3:00:00:63:4C:D2,-64,127,1.0,1.0,1.5
1782978956241,2026-07-02 09:55:56.241,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978956357,2026-07-02 09:55:56.357,C3:00:00:63:4C:D2,-68,127,1.0,1.0,1.5
1782978956594,2026-07-02 09:55:56.594,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978956743,2026-07-02 09:55:56.743,C3:00:00:63:4C:D2,-62,127,1.0,1.0,1.5
1782978956821,2026-07-02 09:55:56.821,C3:00:00:63:4C:D2,-61,127,1.0,1.0,1.5
1782978956941,2026-07-02 09:55:56.941,C3:00:00:63:4C:D2,-64,127,1.0,1.0,1.5
