timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1782978948304,2026-07-02 09:55:48.304,C3:00:00:63:4D:08,-58,127,1.0,1.0,1.5
1782978948421,2026-07-02 09:55:48.421,C3:00:00:63:4D:0A,-52,127,1.0,1.0,1.5
1782978948469,2026-07-02 09:55:48.469,C3:00:00:63:4D:07,-49,127,1.0,1.0,1.5
1782978948505,2026-07-02 09:55:48.505,C3:00:00:63:4D:0D,-60,127,1.0,1.0,1.5
1782978948543,2026-07-02 09:55:48.543,C3:00:00:63:4D:09,-63,127,1.0,1.0,1.5
1782978948604,2026-07-02 09:55:48.604,C3:00:00:63:4D:05,-64,127,1.0,1.0,1.5
1782978948649,2026-07-02 09:55:48.649,C3:00:00:63:4D:04,-60,127,1.0,1.0,1.5
1782978948717,2026-07-02 09:55:48.717,C3:00:00:63:4D:0D,-63,127,1.0,1.0,1.5
1782978948721,2026-07-02 09:55:48.721,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978948773,2026-07-02 09:55:48.773,C3:00:00:63:4D:07,-49,127,1.0,1.0,1.5
1782978948776,2026-07-02 09:55:48.776,C3:00:00:63:4D:09,-65,127,1.0,1.0,1.5
1782978948779,2026-07-02 09:55:48.779,C3:00:00:63:4D:08,-52,127,1.0,1.0,1.5
1782978948783,2026-07-02 09:55:48.783,C3:00:00:63:4D:0A,-46,127,1.0,1.0,1.5
1782978948785,2026-07-02 09:55:48.785,C3:00:00:63:4D:08,-58,127,1.0,1.0,1.5
1782978948787,2026-07-02 09:55:48.787,C3:00:00:63:4D:0D,-58,127,1.0,1.0,1.5
1782978948788,2026-07-02 09:55:48.788,C3:00:00:63:4C:D2,-78,127,1.0,1.0,1.5
1782978948789,2026-07-02 09:55:48.789,C3:00:00:63:4D:07,-53,127,1.0,1.0,1.5
1782978948790,2026-07-02 09:55:48.790,C3:00:00:63:4D:09,-63,127,1.0,1.0,1.5
1782978948792,2026-07-02 09:55:48.792,C3:00:00:63:4D:04,-59,127,1.0,1.0,1.5
1782978948793,2026-07-02 09:55:48.793,C3:00:00:63:4D:0A,-54,127,1.0,1.0,1.5
1782978948794,2026-07-02 09:55:48.794,C3:00:00:63:4D:05,-61,127,1.0,1.0,1.5
1782978948795,2026-07-02 09:55:48.795,C3:00:00:63:4D:08,-58,127,1.0,1.0,1.5
1782978948796,2026-07-02 09:55:48.796,C3:00:00:63:4D:0D,-65,127,1.0,1.0,1.5
1782978948797,2026-07-02 09:55:48.797,C3:00:00:63:4C:D2,-67,127,1.0,1.0,1.5
1782978948798,2026-07-02 09:55:48.798,C3:00:00:63:4D:07,-54,127,1.0,1.0,1.5
1782978948799,2026-07-02 09:55:48.799,C3:00:00:63:4D:09,-62,127,1.0,1.0,1.5
1782978948800,2026-07-02 09:55:48.800,C3:00:00:63:4D:04,-58,127,1.0,1.0,1.5
1782978948804,2026-07-02 09:55:48.804,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978948805,2026-07-02 09:55:48.805,C3:00:00:63:4D:05,-61,127,1.0,1.0,1.5
1782978948806,2026-07-02 09:55:48.806,C3:00:00:63:4D:08,-55,127,1.0,1.0,1.5
1782978948807,2026-07-02 09:55:48.807,C3:00:00:63:4D:0D,-69,127,1.0,1.0,1.5
1782978948808,2026-07-02 09:55:48.808,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978948810,2026-07-02 09:55:48.810,C3:00:00:63:4D:07,-55,127,1.0,1.0,1.5
1782978948812,2026-07-02 09:55:48.812,C3:00:00:63:4D:0A,-47,127,1.0,1.0,1.5
1782978948837,2026-07-02 09:55:48.837,C3:00:00:63:4D:04,-59,127,1.0,1.0,1.5
1782978948850,2026-07-02 09:55:48.850,C3:00:00:63:4D:05,-55,127,1.0,1.0,1.5
1782978948852,2026-07-02 09:55:48.852,C3:00:00:63:4D:0D,-60,127,1.0,1.0,1.5
1782978948906,2026-07-02 09:55:48.906,C3:00:00:63:4D:07,-53,127,1.0,1.0,1.5
1782978948913,2026-07-02 09:55:48.913,C3:00:00:63:4D:0A,-54,127,1.0,1.0,1.5
1782978948924,2026-07-02 09:55:48.924,C3:00:00:63:4D:09,-66,127,1.0,1.0,1.5
1782978948934,2026-07-02 09:55:48.934,C3:00:00:63:4D:04,-66,127,1.0,1.0,1.5
1782978948959,2026-07-02 09:55:48.959,C3:00:00:63:4D:08,-54,127,1.0,1.0,1.5
1782978949018,2026-07-02 09:55:49.018,C3:00:00:63:4D:07,-55,127,1.0,1.0,1.5
1782978949033,2026-07-02 09:55:49.033,C3:00:00:63:4D:09,-67,127,1.0,1.0,1.5
1782978949051,2026-07-02 09:55:49.051,C3:00:00:63:4D:04,-62,127,1.0,1.0,1.5
1782978949068,2026-07-02 09:55:49.068,C3:00:00:63:4D:08,-51,127,1.0,1.0,1.5
1782978949094,2026-07-02 09:55:49.094,C3:00:00:63:4C:D2,-63,127,1.0,1.0,1.5
1782978949113,2026-07-02 09:55:49.113,C3:00:00:63:4D:0A,-48,127,1.0,1.0,1.5
1782978949125,2026-07-02 09:55:49.125,C3:00:00:63:4C:D2,-65,127,1.0,1.0,1.5
1782978949130,2026-07-02 09:55:49.130,C3:00:00:63:4D:07,-60,127,1.0,1.0,1.5
1782978949139,2026-07-02 09:55:49.139,C3:00:00:63:4D:09,-61,127,1.0,1.0,1.5
1782978949154,2026-07-02 09:55:49.154,C3:00:00:63:4D:04,-58,127,1.0,1.0,1.5
1782978949169,2026-07-02 09:55:49.169,C3:00:00:63:4D:0D,-60,127,1.0,1.0,1.5
1782978949177,2026-07-02 09:55:49.177,C3:00:00:63:4D:08,-63,127,1.0,1.0,1.5
1782978949189,2026-07-02 09:55:49.189,C3:00:00:63:4D:05,-57,127,1.0,1.0,1.5
1782978949216,2026-07-02 09:55:49.216,C3:00:00:63:4D:0A,-53,127,1.0,1.0,1.5
1782978949226,2026-07-02 09:55:49.226,C3:00:00:63:4C:D2,-61,127,1.0,1.0,1.5
1782978949242,2026-07-02 09:55:49.242,C3:00:00:63:4D:07,-51,127,1.0,1.0,1.5
1782978949268,2026-07-02 09:55:49.268,C3:00:00:63:4D:04,-59,127,1.0,1.0,1.5
1782978949273,2026-07-02 09:55:49.273,C3:00:00:63:4D:08,-62,127,1.0,1.0,1.5
1782978949277,2026-07-02 09:55:49.277,C3:00:00:63:4D:0D,-63,127,1.0,1.0,1.5
1782978949293,2026-07-02 09:55:49.293,C3:00:00:63:4D:08,-54,127,1.0,1.0,1.5
1782978949307,2026-07-02 09:55:49.307,C3:00:00:63:4D:05,-62,127,1.0,1.0,1.5
1782978949311,2026-07-02 09:55:49.311,C3:00:00:63:4D:0A,-48,127,1.0,1.0,1.5
1782978949345,2026-07-02 09:55:49.345,C3:00:00:63:4C:D2,-60,127,1.0,1.0,1.5
1782978949357,2026-07-02 09:55:49.357,C3:00:00:63:4D:07,-55,127,1.0,1.0,1.5
1782978949375,2026-07-02 09:55:49.375,C3:00:00:63:4D:09,-64,127,1.0,1.0,1.5
1782978949402,2026-07-02 09:55:49.402,C3:00:00:63:4D:0A,-48,127,1.0,1.0,1.5
1782978949418,2026-07-02 09:55:49.418,C3:00:00:63:4D:05,-58,127,1.0,1.0,1.5
1782978949447,2026-07-02 09:55:49.447,C3:00:00:63:4D:09,-63,127,1.0,1.0,1.5
1782978949469,2026-07-02 09:55:49.469,C3:00:00:63:4C:D2,-64,127,1.0,1.0,1.5
1782978949473,2026-07-02 09:55:49.473,C3:00:00:63:4D:07,-62,127,1.0,1.0,1.5
