timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1783010154696,2026-07-02 18:35:54.696,C3:00:00:63:4D:07,-63,127,1.5,6.5,1.5
1783010154877,2026-07-02 18:35:54.877,C3:00:00:63:4D:04,-61,127,1.5,6.5,1.5
1783010154964,2026-07-02 18:35:54.964,C3:00:00:63:4D:0D,-54,127,1.5,6.5,1.5
1783010155053,2026-07-02 18:35:55.053,C3:00:00:63:4D:0A,-65,127,1.5,6.5,1.5
1783010155128,2026-07-02 18:35:55.128,C3:00:00:63:4D:05,-67,127,1.5,6.5,1.5
1783010155205,2026-07-02 18:35:55.205,C3:00:00:63:4C:D2,-74,127,1.5,6.5,1.5
1783010155279,2026-07-02 18:35:55.279,C3:00:00:63:4D:04,-60,127,1.5,6.5,1.5
1783010155283,2026-07-02 18:35:55.283,C3:00:00:63:4D:08,-49,127,1.5,6.5,1.5
1783010155371,2026-07-02 18:35:55.371,C3:00:00:63:4D:0D,-55,127,1.5,6.5,1.5
1783010155376,2026-07-02 18:35:55.376,C3:00:00:63:4D:09,-65,127,1.5,6.5,1.5
1783010155447,2026-07-02 18:35:55.447,C3:00:00:63:4D:09,-71,127,1.5,6.5,1.5
1783010155451,2026-07-02 18:35:55.451,C3:00:00:63:4D:07,-68,127,1.5,6.5,1.5
1783010155456,2026-07-02 18:35:55.456,C3:00:00:63:4C:D2,-62,127,1.5,6.5,1.5
1783010155460,2026-07-02 18:35:55.460,C3:00:00:63:4D:08,-46,127,1.5,6.5,1.5
1783010155464,2026-07-02 18:35:55.464,C3:00:00:63:4D:04,-60,127,1.5,6.5,1.5
1783010155468,2026-07-02 18:35:55.468,C3:00:00:63:4D:0A,-74,127,1.5,6.5,1.5
1783010155470,2026-07-02 18:35:55.470,C3:00:00:63:4D:0D,-56,127,1.5,6.5,1.5
1783010155473,2026-07-02 18:35:55.473,C3:00:00:63:4D:08,-59,127,1.5,6.5,1.5
1783010155478,2026-07-02 18:35:55.478,C3:00:00:63:4C:D2,-68,127,1.5,6.5,1.5
1783010155483,2026-07-02 18:35:55.483,C3:00:00:63:4D:0A,-60,127,1.5,6.5,1.5
1783010155486,2026-07-02 18:35:55.486,C3:00:00:63:4D:09,-63,127,1.5,6.5,1.5
1783010155487,2026-07-02 18:35:55.487,C3:00:00:63:4D:05,-54,127,1.5,6.5,1.5
1783010155488,2026-07-02 18:35:55.488,C3:00:00:63:4D:07,-66,127,1.5,6.5,1.5
1783010155490,2026-07-02 18:35:55.490,C3:00:00:63:4D:04,-59,127,1.5,6.5,1.5
1783010155491,2026-07-02 18:35:55.491,C3:00:00:63:4C:D2,-85,127,1.5,6.5,1.5
1783010155492,2026-07-02 18:35:55.492,C3:00:00:63:4D:09,-61,127,1.5,6.5,1.5
1783010155494,2026-07-02 18:35:55.494,C3:00:00:63:4D:08,-54,127,1.5,6.5,1.5
1783010155496,2026-07-02 18:35:55.496,C3:00:00:63:4D:0D,-56,127,1.5,6.5,1.5
1783010155498,2026-07-02 18:35:55.498,C3:00:00:63:4D:08,-50,127,1.5,6.5,1.5
1783010155505,2026-07-02 18:35:55.505,C3:00:00:63:4D:0A,-61,127,1.5,6.5,1.5
1783010155507,2026-07-02 18:35:55.507,C3:00:00:63:4D:09,-67,127,1.5,6.5,1.5
1783010155509,2026-07-02 18:35:55.509,C3:00:00:63:4D:05,-82,127,1.5,6.5,1.5
1783010155510,2026-07-02 18:35:55.510,C3:00:00:63:4D:07,-60,127,1.5,6.5,1.5
1783010155511,2026-07-02 18:35:55.511,C3:00:00:63:4D:0D,-56,127,1.5,6.5,1.5
1783010155512,2026-07-02 18:35:55.512,C3:00:00:63:4D:08,-49,127,1.5,6.5,1.5
1783010155513,2026-07-02 18:35:55.513,C3:00:00:63:4C:D2,-63,127,1.5,6.5,1.5
1783010155515,2026-07-02 18:35:55.515,C3:00:00:63:4C:D2,-61,127,1.5,6.5,1.5
1783010155516,2026-07-02 18:35:55.516,C3:00:00:63:4D:0A,-64,127,1.5,6.5,1.5
1783010155517,2026-07-02 18:35:55.517,C3:00:00:63:4D:0D,-54,127,1.5,6.5,1.5
1783010155518,2026-07-02 18:35:55.518,C3:00:00:63:4D:0D,-55,127,1.5,6.5,1.5
1783010155519,2026-07-02 18:35:55.519,C3:00:00:63:4C:D2,-80,127,1.5,6.5,1.5
1783010155520,2026-07-02 18:35:55.520,C3:00:00:63:4D:04,-58,127,1.5,6.5,1.5
1783010155522,2026-07-02 18:35:55.522,C3:00:00:63:4D:0D,-55,127,1.5,6.5,1.5
