timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1788446548763,2026-09-03 16:42:28.763,C3:00:00:63:4D:04,-69,127,2.0,5.54,1.5
1788446548966,2026-09-03 16:42:28.966,C3:00:00:63:4D:0A,-63,127,2.0,5.54,1.5
1788446549033,2026-09-03 16:42:29.033,C3:00:00:63:4D:05,-58,127,2.0,5.54,1.5
1788446549108,2026-09-03 16:42:29.108,C3:00:00:63:4D:08,-58,127,2.0,5.54,1.5
1788446549206,2026-09-03 16:42:29.206,C3:00:00:63:4D:08,-58,127,2.0,5.54,1.5
1788446549208,2026-09-03 16:42:29.208,C3:00:00:63:4D:09,-74,127,2.0,5.54,1.5
1788446549274,2026-09-03 16:42:29.274,C3:00:00:63:4D:0D,-55,127,2.0,5.54,1.5
1788446549364,2026-09-03 16:42:29.364,C3:00:00:63:4D:07,-56,127,2.0,5.54,1.5
1788446549454,2026-09-03 16:42:29.454,C3:00:00:63:4D:04,-75,127,2.0,5.54,1.5
1788446549456,2026-09-03 16:42:29.456,C3:00:00:63:4D:05,-59,127,2.0,5.54,1.5
1788446549460,2026-09-03 16:42:29.460,C3:00:00:63:4D:0A,-61,127,2.0,5.54,1.5
1788446549463,2026-09-03 16:42:29.463,C3:00:00:63:4D:05,-59,127,2.0,5.54,1.5
1788446549464,2026-09-03 16:42:29.464,C3:00:00:63:4C:D2,-67,127,2.0,5.54,1.5
1788446549541,2026-09-03 16:42:29.541,C3:00:00:63:4D:0A,-61,127,2.0,5.54,1.5
1788446549543,2026-09-03 16:42:29.543,C3:00:00:63:4D:09,-71,127,2.0,5.54,1.5
1788446549545,2026-09-03 16:42:29.545,C3:00:00:63:4D:08,-63,127,2.0,5.54,1.5
1788446549547,2026-09-03 16:42:29.547,C3:00:00:63:4D:0D,-56,127,2.0,5.54,1.5
1788446549552,2026-09-03 16:42:29.552,C3:00:00:63:4D:09,-65,127,2.0,5.54,1.5
1788446549554,2026-09-03 16:42:29.554,C3:00:00:63:4D:07,-64,127,2.0,5.54,1.5
1788446549555,2026-09-03 16:42:29.555,C3:00:00:63:4D:0D,-55,127,2.0,5.54,1.5
1788446549556,2026-09-03 16:42:29.556,C3:00:00:63:4D:04,-71,127,2.0,5.54,1.5
1788446549558,2026-09-03 16:42:29.558,C3:00:00:63:4D:05,-53,127,2.0,5.54,1.5
