timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1788520832923,2026-09-04 13:20:32.923,C3:00:00:63:4D:05,-57,127,4.8,5.54,1.5
1788520833365,2026-09-04 13:20:33.365,C3:00:00:63:4D:05,-55,127,4.8,5.54,1.5
1788520833457,2026-09-04 13:20:33.457,C3:00:00:63:4D:05,-63,127,4.8,5.54,1.5
1788520833461,2026-09-04 13:20:33.461,C3:00:00:63:4D:05,-58,127,4.8,5.54,1.5
1788520833479,2026-09-04 13:20:33.479,C3:00:00:63:4D:05,-58,127,4.8,5.54,1.5
1788520833494,2026-09-04 13:20:33.494,C3:00:00:63:4D:05,-58,127,4.8,5.54,1.5
1788520833512,2026-09-04 13:20:33.512,C3:00:00:63:4D:05,-60,127,4.8,5.54,1.5
1788520833571,2026-09-04 13:20:33.571,C3:00:00:63:4D:05,-56,127,4.8,5.54,1.5
1788520833661,2026-09-04 13:20:33.661,C3:00:00:63:4D:05,-55,127,4.8,5.54,1.5
1788520833764,2026-09-04 13:20:33.764,C3:00:00:63:4D:05,-54,127,4.8,5.54,1.5
1788520833882,2026-09-04 13:20:33.882,C3:00:00:63:4D:05,-55,127,4.8,5.54,1.5
1788520833977,2026-09-04 13:20:33.977,C3:00:00:63:4D:05,-58,127,4.8,5.54,1.5
1788520834183,2026-09-04 13:20:34.183,C3:00:00:63:4D:05,-56,127,4.8,5.54,1.5
1788520834280,2026-09-04 13:20:34.280,C3:00:00:63:4D:05,-54,127,4.8,5.54,1.5
1788520834381,2026-09-04 13:20:34.381,C3:00:00:63:4D:05,-58,127,4.8,5.54,1.5
1788520834481,2026-09-04 13:20:34.481,C3:00:00:63:4D:05,-57,127,4.8,5.54,1.5
1788520834626,2026-09-04 13:20:34.626,C3:00:00:63:4D:05,-60,127,4.8,5.54,1.5
1788520834683,2026-09-04 13:20:34.683,C3:00:00:63:4D:05,-60,127,4.8,5.54,1.5
1788520834711,2026-09-04 13:20:34.711,C3:00:00:63:4D:05,-56,127,4.8,5.54,1.5
