timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1788445321714,2026-09-03 16:22:01.714,C3:00:00:63:4C:D2,-71,127,1.0,6.54,1.5
1788445321850,2026-09-03 16:22:01.850,C3:00:00:63:4D:0D,-78,127,1.0,6.54,1.5
1788445321912,2026-09-03 16:22:01.912,C3:00:00:63:4D:08,-49,127,1.0,6.54,1.5
1788445321983,2026-09-03 16:22:01.983,C3:00:00:63:4D:0D,-73,127,1.0,6.54,1.5
1788445321985,2026-09-03 16:22:01.985,C3:00:00:63:4D:04,-64,127,1.0,6.54,1.5
1788445322070,2026-09-03 16:22:02.070,C3:00:00:63:4D:0A,-67,127,1.0,6.54,1.5
1788445322151,2026-09-03 16:22:02.151,C3:00:00:63:4C:D2,-71,127,1.0,6.54,1.5
1788445322153,2026-09-03 16:22:02.153,C3:00:00:63:4D:09,-59,127,1.0,6.54,1.5
1788445322221,2026-09-03 16:22:02.221,C3:00:00:63:4D:07,-65,127,1.0,6.54,1.5
1788445322318,2026-09-03 16:22:02.318,C3:00:00:63:4D:0D,-67,127,1.0,6.54,1.5
1788445322321,2026-09-03 16:22:02.321,C3:00:00:63:4D:04,-65,127,1.0,6.54,1.5
1788445322324,2026-09-03 16:22:02.324,C3:00:00:63:4D:0D,-67,127,1.0,6.54,1.5
1788445322327,2026-09-03 16:22:02.327,C3:00:00:63:4D:0D,-74,127,1.0,6.54,1.5
1788445322328,2026-09-03 16:22:02.328,C3:00:00:63:4D:04,-64,127,1.0,6.54,1.5
1788445322329,2026-09-03 16:22:02.329,C3:00:00:63:4D:08,-54,127,1.0,6.54,1.5
1788445322335,2026-09-03 16:22:02.335,C3:00:00:63:4D:04,-64,127,1.0,6.54,1.5
1788445322342,2026-09-03 16:22:02.342,C3:00:00:63:4D:04,-64,127,1.0,6.54,1.5
1788445322345,2026-09-03 16:22:02.345,C3:00:00:63:4D:07,-78,127,1.0,6.54,1.5
1788445322347,2026-09-03 16:22:02.347,C3:00:00:63:4C:D2,-70,127,1.0,6.54,1.5
1788445322349,2026-09-03 16:22:02.349,C3:00:00:63:4D:05,-62,127,1.0,6.54,1.5
1788445322427,2026-09-03 16:22:02.427,C3:00:00:63:4D:0A,-67,127,1.0,6.54,1.5
1788445322429,2026-09-03 16:22:02.429,C3:00:00:63:4D:07,-74,127,1.0,6.54,1.5
1788445322436,2026-09-03 16:22:02.436,C3:00:00:63:4D:09,-62,127,1.0,6.54,1.5
1788445322440,2026-09-03 16:22:02.440,C3:00:00:63:4D:0D,-74,127,1.0,6.54,1.5
