id,marker_type,size,max_distance,position,position/x,position/y,position/z,rotation/roll,rotation/pitch,rotation/yaw,comment
39,A2,"0,385",0,POS1,"6,409","0,3","1,7345",90,0,180,POS1 - A2 marker
12,A3,"0,273",0,POS1,"6,46","0,3","1,182",90,0,180,POS1 - A3 marker
45,A4,"0,173",0,POS1,"6,2","0,3","1,218",90,0,180,POS1 - A4 marker
38,A2,"0,385",0,POS2,"4,688",0,"1,698",90,0,180,POS2 - A2 marker
14,A3,"0,273",0,POS2,"4,321",0,"1,758",90,0,180,POS2 - A3 marker
46,A4,"0,173",0,POS2,"4,366",0,"1,367",90,0,180,POS2 - A4 marker
37,A2,"0,385",0,POS3,"2,183",0,"1,699",90,0,180,POS3 - A2 marker
16,A3,"0,273",0,POS3,"2,543",0,"1,767",90,0,180,POS3 - A3 marker
47,A4,"0,173",0,POS3,"2,506",0,"1,377",90,0,180,POS3 - A4 marker
36,A2,"0,385",0,POS4,"0,74","0,32","1,71",90,0,180,POS4 - A2 marker
18,A3,"0,273",0,POS4,"0,341","0,32","1,776",90,0,180,POS4 - A3 marker
48,A4,"0,173",0,POS4,"0,387","0,32","1,389",90,0,180,POS4 - A4 marker
35,A2,"0,385",0,POS5,0,"0,539","1,71",90,0,90,POS5 - A2 marker
1,A3,"0,273",0,POS5,0,"0,545","1,18",90,0,90,POS5 - A3 marker
49,A4,"0,173",0,POS5,0,"0,5435","2,049",90,0,90,POS5 - A4 marker
34,A2,"0,385",0,POS6,0,"2,468","1,734",90,0,90,POS6 - A2 marker
3,A3,"0,273",0,POS6,0,"2,461","1,189",90,0,90,POS6 - A3 marker
50,A4,"0,173",0,POS6,0,"2,465","2,074",90,0,90,POS6 - A4 marker
23,A2,"0,385",0,POS7,"0,02","3,58","1,648",90,0,90,POS7 - A2 marker at the blackboard
11,A3,"0,273",0,POS7,"0,02","3,93","1,702",90,0,90,POS7 – A3 marker at the blackboard
55,A4,"0,173",0,POS7,"0,02","3,886","1,406",90,0,90,POS7 – A4 marker at the blackboard
33,A2,"0,385",0,POS8,0,"5,004","1,724",90,0,90,POS8 - A2 marker
5,A3,"0,273",0,POS8,0,"5,01","1,186",90,0,90,POS8 - A3 marker
51,A4,"0,173",0,POS8,0,"5,004","2,068",90,0,90,POS8 - A4 marker
32,A2,"0,385",0,POS9,0,"7,017","1,724",90,0,90,POS9 - A2 marker
0,A3,"0,273",0,POS9,0,"7,011","1,165",90,0,90,POS9 - A3 marker
52,A4,"0,173",0,POS9,0,"7,009","2,071",90,0,90,POS9 - A4 marker
31,A2,"0,385",0,POS10,"0,275","7,309","1,732",90,0,0,POS10 - A2 marker
8,A3,"0,273",0,POS10,"0,6425","7,309","1,797",90,0,0,POS10 - A3 marker
53,A4,"0,173",0,POS10,"0,597","7,309","1,408",90,0,0,POS10 - A4 marker
29,A2,"0,385",0,POS11,"6,164","7,308","1,689",90,0,0,POS11 - A2 marker
6,A3,"0,273",0,POS11,"6,108","7,313","1,148",90,0,0,POS11 - A3 marker
54,A4,"0,173",0,POS11,"6,367","7,313","1,186",90,0,0,POS11 - A4 marker
25,A2,"0,385",0,POS12,"6,785","7,003","1,171",90,0,-90,POS12 - A2 marker
15,A3,"0,273",0,POS12,"6,785","7,12","0,78",90,0,-90,POS12 - A3 marker
40,A4,"0,173",0,POS12,"6,79","6,69","0,944",90,0,-90,POS12 - A4 marker
28,A2,"0,385",0,POS13,"6,789","5,744","1,657",90,0,-90,POS13 - A2 marker
4,A3,"0,273",0,POS13,"6,788","5,378","1,721",90,0,-90,POS13 - A3 marker
42,A4,"0,173",0,POS13,"6,789","5,425","1,333",90,0,-90,POS13 - A4 marker
27,A2,"0,385",0,POS14,"6,796","4,043","1,664",90,0,-90,POS14 - A2 marker
19,A3,"0,273",0,POS14,"6,796","3,673","1,726",90,0,-90,POS14 - A3 marker
43,A4,"0,173",0,POS14,"6,796","3,721","1,332",90,0,-90,POS14 - A4 marker
26,A2,"0,385",0,POS15,"6,794","1,868","1,655",90,0,-90,POS15 - A2 marker
17,A3,"0,273",0,POS15,"6,794","2,235","1,718",90,0,-90,POS15 - A3 marker
44,A4,"0,173",0,POS15,"6,794","2,197","1,33",90,0,-90,POS15 - A4 marker
24,A2,"0,385",0,POS16,"6,793","0,661","1,152",90,0,-90,POS16 - A2 marker
13,A3,"0,273",0,POS16,"6,793","0,552","0,771",90,0,-90,POS16 - A3 marker
41,A4,"0,173",0,POS16,"6,793","0,989","0,931",90,0,-90,POS16 - A4 marker
